Geography Code,LGD2014_nm,Area_ha,Perim_km,Geography,All usual residents,"Area (hectares)
[note 1, 2]",Population density (number of usual residents per hectare)
N20000001,Antrim and Newtownabbey,2070.68,22.93,Dunsilly_A1,738,2070.68,0.3564053890092005
N20000002,Antrim and Newtownabbey,1253.69,19.14,Dunsilly_B1,331,1253.69,0.264020328862373
N20000003,Antrim and Newtownabbey,792.91,15.5,Dunsilly_A2,365,792.91,0.460330068441247
N20000004,Antrim and Newtownabbey,1100.52,17.9,Dunsilly_A3,663,1100.52,0.602441523352671
N20000005,Antrim and Newtownabbey,1740.82,21.93,Dunsilly_B2,676,1740.82,0.3883235012122636
N20000006,Antrim and Newtownabbey,693.95,13.05,Dunsilly_A4,464,693.95,0.6686388457491058
N20000007,Antrim and Newtownabbey,1648.63,18.71,Dunsilly_C1,880,1648.63,0.5337753152514937
N20000008,Antrim and Newtownabbey,1328.75,22.97,Dunsilly_A5,642,1328.75,0.4831615859294835
N20000009,Antrim and Newtownabbey,624.6,11.82,Dunsilly_A6,401,624.6,0.6420076123300229
N20000010,Antrim and Newtownabbey,1689.67,20.92,Dunsilly_B3,544,1689.67,0.3219570856847891
N20000011,Antrim and Newtownabbey,10.14,1.59,Dunsilly_D1,525,10.14,51.766655176802495
N20000012,Antrim and Newtownabbey,25.3,3.6,Dunsilly_D2,503,25.3,19.87916687895331
N20000013,Antrim and Newtownabbey,1244.04,17.59,Dunsilly_F1,407,1244.04,0.3271595787648966
N20000014,Antrim and Newtownabbey,18.57,2.49,Dunsilly_D3,506,18.57,27.24781705353559
N20000015,Antrim and Newtownabbey,76.49,4.09,Dunsilly_C2,586,76.49,7.6612004273934105
N20000016,Antrim and Newtownabbey,32.24,3.82,Dunsilly_E1,453,32.24,14.04880274067999
N20000017,Antrim and Newtownabbey,25.19,2.31,Dunsilly_E2,674,25.19,26.75652869525704
N20000018,Antrim and Newtownabbey,9.08,1.67,Dunsilly_E3,486,9.08,53.53051353064893
N20000019,Antrim and Newtownabbey,18.32,2.22,Dunsilly_D4,393,18.32,21.45461863866855
N20000020,Antrim and Newtownabbey,16.05,1.97,Dunsilly_D5,562,16.05,35.00530800848428
N20000021,Antrim and Newtownabbey,14.43,1.94,Dunsilly_E4,545,14.43,37.778363876737174
N20000022,Antrim and Newtownabbey,21.06,2.52,Dunsilly_C3,441,21.06,20.94175512010624
N20000023,Antrim and Newtownabbey,23.23,2.33,Dunsilly_D6,502,23.23,21.612976813678795
N20000024,Antrim and Newtownabbey,1048.19,21.38,Dunsilly_C4,620,1048.19,0.5914941164458968
N20000025,Antrim and Newtownabbey,22.31,2.2,Dunsilly_F2,415,22.31,18.599723555966882
N20000026,Antrim and Newtownabbey,1114.93,16.7,Dunsilly_B4,554,1114.93,0.49689129654936637
N20000027,Antrim and Newtownabbey,13.39,1.78,Dunsilly_F3,558,13.39,41.68278628158569
N20000028,Antrim and Newtownabbey,872.72,14.81,Dunsilly_F4,550,872.72,0.6302118502565075
N20000029,Antrim and Newtownabbey,1098.73,20.11,Dunsilly_F5,552,1098.73,0.5023969290035517
N20000030,Antrim and Newtownabbey,1471.69,19.61,Dunsilly_B5,496,1471.69,0.3370282107681534
N20000031,Antrim and Newtownabbey,25.4,2.32,Dunsilly_B6,531,25.4,20.908523834028166
N20000032,Antrim and Newtownabbey,1007.88,18.16,Dunsilly_F6,459,1007.88,0.4554135110958443
N20000033,Antrim and Newtownabbey,1378.51,30.07,Dunsilly_F7,536,1378.51,0.3888270085000581
N20000034,Antrim and Newtownabbey,604.55,14.24,Dunsilly_F8,439,604.55,0.7261541670223594
N20000035,Antrim and Newtownabbey,112.78,6.54,Antrim_A1,671,112.78,5.949490010382191
N20000036,Antrim and Newtownabbey,7.77,1.37,Antrim_A2,374,7.77,48.11004485698139
N20000037,Antrim and Newtownabbey,16.03,1.97,Antrim_A3,423,16.03,26.389280112539982
N20000038,Antrim and Newtownabbey,231.93,7.83,Antrim_B1,628,231.93,2.7076742209884603
N20000039,Antrim and Newtownabbey,84.44,4.02,Antrim_B2,499,84.44,5.90979166739402
N20000040,Antrim and Newtownabbey,8.51,1.55,Antrim_A4,371,8.51,43.61714762356818
N20000041,Antrim and Newtownabbey,68.83,5.13,Antrim_C1,931,68.83,13.525529362117142
N20000042,Antrim and Newtownabbey,32.26,2.74,Antrim_B3,661,32.26,20.48906436498731
N20000043,Antrim and Newtownabbey,10.88,1.63,Antrim_D1,820,10.88,75.33917248078573
N20000044,Antrim and Newtownabbey,347.3,11.72,Antrim_C2,493,347.3,1.419507000349576
N20000045,Antrim and Newtownabbey,10.38,1.34,Antrim_C3,466,10.38,44.885227520142315
