LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Antrim and Newtownabbey,Rural,N00000001,Aldergrove_1,3051,3608,4511,4537,1532,208,1252,4206,0.09,0.05,141,72,53,12,321,23,482,9,12.67,6.47,4.76,1.08,28.84,2.07,43.31,0.81,N00000001,1028,-6.218373577558905,54.6550358077733,1.26,0.45,0.63,1.44,1.8,1.53,3.23,2.96,0.27,1.17,1.08,88.05
Antrim and Newtownabbey,Mixed urban/rural,N00000002,Aldergrove_2,3726,4319,3042,2814,3382,1555,1946,3381,0.05,0.14,219,36,33,4,7,3,23,26,62.39,10.26,9.4,1.14,1.99,0.85,6.55,7.41,N00000002,429,-6.212844457965391,54.62955519134457,5.13,0.0,1.14,7.98,1.99,4.56,7.41,7.69,1.71,6.27,4.27,72.65
Antrim and Newtownabbey,Rural,N00000003,Aldergrove_2,3733,3383,4013,3761,3728,493,3838,4190,0.09,0.1,109,38,25,18,26,0,15,6,45.99,16.03,10.55,7.59,10.97,0.0,6.33,2.53,N00000003,255,-6.193311098859336,54.642598252875615,3.8,3.38,1.69,10.13,2.95,3.8,10.55,5.49,1.69,5.91,5.49,69.2
Antrim and Newtownabbey,Rural,N00000004,Aldergrove_2,3409,2621,3548,3666,3325,642,3648,4374,0.11,0.12,296,92,103,21,20,0,63,21,48.05,14.94,16.72,3.41,3.25,0.0,10.23,3.41,N00000004,619,-6.341944499985775,54.622461960778544,4.06,0.65,1.62,8.44,2.27,3.08,6.17,7.79,0.49,5.03,5.36,73.7
Antrim and Newtownabbey,Rural,N00000005,Aldergrove_2,2828,1934,3197,3596,3783,319,3581,3843,0.14,0.14,171,85,30,4,15,0,50,19,45.72,22.73,8.02,1.07,4.01,0.0,13.37,5.08,N00000005,498,-6.278187083712149,54.673708093466765,2.67,0.53,0.27,6.95,1.34,2.14,7.75,5.08,0.0,3.21,5.08,77.81
Antrim and Newtownabbey,Rural,N00000006,Aldergrove_2,3871,4364,4018,3064,3048,906,2604,4218,0.05,0.1,144,39,28,3,8,4,19,6,57.37,15.54,11.16,1.2,3.19,1.59,7.57,2.39,N00000006,322,-6.238043156313419,54.64237705512543,5.18,3.19,1.99,7.17,3.59,5.18,6.37,4.78,2.39,4.38,4.78,70.52
Antrim and Newtownabbey,Rural,N00000007,Aldergrove_3,2891,2146,3190,4022,3486,387,1827,4152,0.13,0.14,55,69,52,5,10,0,38,16,22.45,28.16,21.22,2.04,4.08,0.0,15.51,6.53,N00000007,250,-6.2259326800345915,54.68602626182924,2.86,0.82,2.45,6.94,2.04,1.63,4.9,9.39,2.45,7.76,4.9,76.73
Antrim and Newtownabbey,Mixed urban/rural,N00000008,Aldergrove_3,1594,2079,1209,1423,2724,961,673,2017,0.13,0.28,76,70,32,5,22,2,60,21,26.39,24.31,11.11,1.74,7.64,0.69,20.83,7.29,N00000008,297,-6.186302115816895,54.68865579077118,3.82,1.74,0.69,9.03,0.69,2.78,9.38,4.51,1.04,5.21,4.86,72.57
Antrim and Newtownabbey,Mixed urban/rural,N00000009,Aldergrove_3,3824,2868,4280,4166,3635,804,4358,3352,0.11,0.08,121,296,68,8,70,11,111,42,16.64,40.72,9.35,1.1,9.63,1.51,15.27,5.78,N00000009,813,-6.160385112369834,54.68287426280336,3.3,0.55,0.96,5.36,1.24,3.03,6.33,6.19,0.55,4.4,4.4,79.78
Antrim and Newtownabbey,Rural,N00000010,Aldergrove_3,2821,3175,2475,3388,3725,434,696,4122,0.1,0.17,24,124,17,2,28,0,26,21,9.92,51.24,7.02,0.83,11.57,0.0,10.74,8.68,N00000010,264,-6.185057413162555,54.661297360296956,2.48,0.0,1.24,7.85,2.07,2.89,9.09,7.44,1.24,6.61,3.31,71.9
